ID,SAMPLE,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ExternalReference,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q3_18,Q3_19,Q3_20,Q3_21,Q3_22,Q3_23,Q3_24,Q3_25,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q5_16,Q5_17,Q5_18,Q5_19,Q5_20,Q5_21,Q5_22,Q5_23,Q5_24,Q5_25,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13
6bn0gv7gasamm7p3rgbyqrgj,WJ,2019-08-19 12:08:03,2019-08-19 12:09:25,0,100,81,1,2019-08-19 12:09:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,People
0xq7gbpyef661x9j66hexdps,WJ,2019-08-19 12:02:55,2019-08-19 12:09:29,0,100,393,1,2019-08-19 12:09:30,NA,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,6,1,4,2,6,7,4,3,6,7,3,1,4,4,4,3,5,3,working class
r0casywegaua2af1ydyiwayw,WJ,2019-08-19 12:03:59,2019-08-19 12:09:29,0,100,330,1,2019-08-19 12:09:30,NA,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,1,5,1,7,7,1,1,7,7,3,3,6,3,5,2,6,3,the semi and unskilled workers and those with casual employment status
0dz304t6bs836m2r0rr8yguv,WJ,2019-08-19 12:02:35,2019-08-19 12:09:59,0,100,444,1,2019-08-19 12:10:00,NA,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,5,1,1,1,5,6,5,5,3,6,5,6,1,3,6,3,2,2,People in unskilled or low skilled jobs that do not require a university degree
cxabijw8y426gv70mlny6kgs,WJ,2019-08-19 12:05:48,2019-08-19 12:10:19,0,100,270,1,2019-08-19 12:10:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,4,1,1,1,1,2,1,3,7,6,1,1,7,3,1,7,4,5,3,7,3,PROFFESIONAL PEOPLE
atq3m8iroda104q6uu6ksp2e,WJ,2019-08-19 12:06:39,2019-08-19 12:10:21,0,100,222,1,2019-08-19 12:10:22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,5,5,4,5,1,5,4,5,6,4,5,4,5,3,4,4,5,5,3,5,3,managers
69oeg8ztsfbosou5a04efv3b,WJ,2019-08-19 12:04:08,2019-08-19 12:10:24,0,100,376,1,2019-08-19 12:10:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,6,5,7,7,1,4,1,7,7,6,5,6,6,5,5,3,3,4,2,5,3,non professional workers
mmmybx6ebd72jojbjz032dk4,WJ,2019-08-19 12:05:39,2019-08-19 12:10:55,0,100,315,1,2019-08-19 12:10:55,NA,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,1,4,4,7,7,4,3,6,7,3,2,6,7,4,4,5,4,Working class
9uartwka9m9lu7vbj4p2ppud,WJ,2019-08-19 12:07:35,2019-08-19 12:11:22,0,100,227,1,2019-08-19 12:11:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,6,6,6,7,3,4,6,7,4,3,4,5,5,2,1,7,2,2,1,7,1,cannot remember
5aunmf6why7i78iwcb2rdnu0,WJ,2019-08-19 12:03:10,2019-08-19 12:11:23,0,100,492,1,2019-08-19 12:11:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,4,2,4,4,1,5,5,3,3,5,4,5,5,2,2,5,4,5,2,5,3,Professionals
3me3lij1cx6r8ytbttbd9vo6,WJ,2019-08-19 12:07:28,2019-08-19 12:11:35,0,100,247,1,2019-08-19 12:11:36,NA,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,7,3,2,2,7,6,7,4,5,6,2,1,5,6,4,1,7,3,Working class people
7fp7obsyu057vlsjrlxtda7a,WJ,2019-08-19 12:06:58,2019-08-19 12:11:51,0,100,292,1,2019-08-19 12:11:51,NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,7,7,2,1,1,6,7,2,3,6,7,1,2,6,3,2,1,7,1,People in working class jobs
zh4upjha0yjqe9648mc44df5,WJ,2019-08-19 12:06:24,2019-08-19 12:11:58,0,100,333,1,2019-08-19 12:11:58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,4,4,4,4,1,6,6,5,6,6,4,6,6,1,1,6,1,3,2,7,2,basic everyday people
3j028hvzemin375o0iue2mzd,WJ,2019-08-19 12:08:51,2019-08-19 12:12:34,0,100,222,1,2019-08-19 12:12:34,NA,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,3,1,5,7,2,2,4,5,4,4,1,1,7,1,3,1,7,1,Working class people
az521hwig16gyvkpsohh7ilr,WJ,2019-08-19 12:07:39,2019-08-19 12:12:48,0,100,309,1,2019-08-19 12:12:48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,5,5,6,4,1,4,4,6,6,6,4,5,6,3,3,4,5,5,4,5,4,public
is930aysloz7rh6z4micu6fc,WJ,2019-08-19 12:05:06,2019-08-19 12:13:07,0,100,480,1,2019-08-19 12:13:07,NA,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7,7,1,1,1,7,7,3,3,6,7,2,2,7,2,2,2,5,5,Working class people
kuh4rbwwwi93p0n15whxsxjv,WJ,2019-08-19 12:07:38,2019-08-19 12:13:12,0,100,333,1,2019-08-19 12:13:12,NA,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,1,7,7,7,7,7,7,7,7,1,1,1,1,1,1,7,1,Working class people
f10midl68qk3g62tthu1c2mh,WJ,2019-08-19 12:09:42,2019-08-19 12:13:27,0,100,225,1,2019-08-19 12:13:28,NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,3,1,1,7,7,4,1,7,7,1,1,7,1,1,1,7,1,The working class
fxbzesvk1uawj92y6r61rtrf,WJ,2019-08-19 12:08:59,2019-08-19 12:13:58,0,100,299,1,2019-08-19 12:13:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,5,3,2,1,1,4,4,2,6,5,5,5,7,2,3,6,6,3,2,6,2,Mangers and people with university degrees
3vt0eh754kfkjtauok3kjnvw,WJ,2019-08-19 12:07:47,2019-08-19 12:14:01,0,100,374,1,2019-08-19 12:14:02,NA,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,7,7,1,5,3,5,1,5,3,6,7,3,2,5,2,4,3,6,3,working class people
0c9a197ev8xs38754mlg7n5n,WJ,2019-08-19 12:05:46,2019-08-19 12:15:36,0,100,589,1,2019-08-19 12:15:37,NA,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,1,4,1,7,7,1,1,7,7,1,1,6,3,3,2,5,2,Working Class
hhaywx39np4bmb7xg8dpgm2a,WJ,2019-08-19 12:12:11,2019-08-19 12:16:17,0,100,245,1,2019-08-19 12:16:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,7,3,5,5,1,6,5,7,6,7,6,6,7,2,3,5,3,1,2,6,1,white collar workers with degrees
v863jgpaz4t01mpwge4x3dae,WJ,2019-08-19 12:11:20,2019-08-19 12:16:18,0,100,297,1,2019-08-19 12:16:19,NA,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,4,3,5,4,3,5,5,6,4,6,4,4,4,4,4,5,4,5,Working class
6mtla3baave40v3awt2upt7x,WJ,2019-08-19 12:09:17,2019-08-19 12:16:27,0,100,429,1,2019-08-19 12:16:27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,5,4,5,5,2,1,1,1,7,1,1,7,7,1,1,7,1,1,1,7,1,Low income housholds
rifxjqularfz6txu52otezg3,WJ,2019-08-19 12:12:16,2019-08-19 12:17:07,0,100,291,1,2019-08-19 12:17:07,NA,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,3,3,2,1,7,7,4,1,7,7,4,3,4,5,4,5,5,3,Lower class workers
1rclq3c5z3lna5z861g8q0je,WJ,2019-08-19 12:05:24,2019-08-19 12:17:12,0,100,707,1,2019-08-19 12:17:12,NA,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,2,1,1,1,7,1,1,7,7,1,1,6,3,2,1,7,1,low skilled people
l8da1hl8j0f2v7vu32kc7xnw,WJ,2019-08-19 12:09:01,2019-08-19 12:17:13,0,100,492,1,2019-08-19 12:17:13,NA,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,4,4,1,3,1,7,4,5,5,5,7,2,1,5,2,3,2,6,2,Working class
f3007o134iqizfgearswmdja,WJ,2019-08-19 12:13:25,2019-08-19 12:17:21,0,100,236,1,2019-08-19 12:17:22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,6,1,1,1,1,1,1,7,7,1,1,7,7,1,1,6,4,1,1,7,1,People in professional jobs
04p3z4iia9v1fvx1ubvjbnfe,WJ,2019-08-19 12:14:00,2019-08-19 12:17:49,0,100,229,1,2019-08-19 12:17:49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,6,4,5,6,1,5,4,2,6,6,5,4,5,5,3,5,4,5,5,4,4,Employed people
dnodge9k9v46k8wqmb9yhu3p,WJ,2019-08-19 12:04:49,2019-08-19 12:18:03,0,100,794,1,2019-08-19 12:18:04,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,2,4,4,4,4,4,4,4,4,5,5,4,6,5,4,4,4,graduates
u038h20fuvaa5o65w7cb48kc,WJ,2019-08-19 12:13:56,2019-08-19 12:18:12,0,100,256,1,2019-08-19 12:18:13,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,1,5,5,5,6,2,2,6,6,2,1,7,5,4,1,7,1,the ordinary working class people
dd0r3lfouq9v4uxeees9lgvz,WJ,2019-08-19 12:07:54,2019-08-19 12:19:40,0,100,706,1,2019-08-19 12:19:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,4,3,4,5,3,2,1,6,7,1,1,7,7,2,4,3,6,5,2,3,2,NA
p8c4ybb3tpz6cgyz7ndwir92,WJ,2019-08-19 12:15:47,2019-08-19 12:19:59,0,100,252,1,2019-08-19 12:20:00,NA,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,1,3,1,6,7,2,2,7,7,2,2,7,3,3,1,6,1,Working class people
mytsx2i714n58n5ott3h766o,WJ,2019-08-19 12:16:06,2019-08-19 12:20:25,0,100,259,1,2019-08-19 12:20:26,NA,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,7,7,1,3,1,2,7,4,3,6,7,3,2,5,5,4,2,6,3,Working class
khxalp7jfnf1436ledztao2a,WJ,2019-08-19 12:16:44,2019-08-19 12:21:40,0,100,295,1,2019-08-19 12:21:40,NA,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,6,3,1,1,6,7,2,1,6,6,1,1,5,1,1,1,7,1,Working classes
8vd4i214cs39k6pcjuoj9lck,WJ,2019-08-19 12:17:58,2019-08-19 12:21:48,0,100,229,1,2019-08-19 12:21:48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,5,4,3,3,1,4,5,4,3,3,3,3,2,4,2,5,3,3,2,6,1,Society
cs5x07yrb4s7br3wtbx9bqnu,WJ,2019-08-19 12:16:19,2019-08-19 12:21:54,0,100,335,1,2019-08-19 12:21:54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,7,1,1,7,1,1,1,1,7,1,1,7,7,2,2,7,4,5,2,5,1,professional people
bur7rmd9rxqqk938qqiwvegq,WJ,2019-08-19 12:14:28,2019-08-19 12:22:20,0,100,471,1,2019-08-19 12:22:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,7,7,7,7,3,5,1,4,7,2,1,7,7,4,6,6,4,5,7,6,2,Professionals
y69c613so1ddspgbimi46e6d,WJ,2019-08-19 12:18:23,2019-08-19 12:22:24,0,100,241,1,2019-08-19 12:22:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,4,5,4,4,1,2,1,7,7,2,2,7,7,3,3,4,4,4,3,5,4,Managers white collar workers
qslqlb1x2ocmcqap550vd4cd,WJ,2019-08-19 12:14:04,2019-08-19 12:22:30,0,100,506,1,2019-08-19 12:22:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,7,2,2,4,1,1,1,7,7,1,1,7,7,3,3,5,4,3,2,5,2,Professional people whose job usually requires a university degree
aj7s6726dvo9eqlu042hlxo2,WJ,2019-08-19 12:17:39,2019-08-19 12:23:28,0,100,349,1,2019-08-19 12:23:29,NA,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,7,6,1,4,1,4,6,2,2,6,6,3,3,4,2,5,4,3,4,people who have working class jobs
k18gmolhgba81y4hmhxrdwpx,WJ,2019-08-19 12:17:59,2019-08-19 12:24:00,0,100,361,1,2019-08-19 12:24:01,NA,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6,7,2,5,1,5,7,3,3,6,6,5,2,5,5,5,3,6,3,the working class
iiky40tpqx0brneuyzfbfmgv,WJ,2019-08-19 12:19:19,2019-08-19 12:24:04,0,100,285,1,2019-08-19 12:24:05,NA,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,1,3,1,6,7,2,2,6,6,2,3,5,3,3,3,3,4,WORKING CLASS
in6088mt9a64c52mafux4j8u,WJ,2019-08-19 12:18:56,2019-08-19 12:24:25,0,100,328,1,2019-08-19 12:24:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,7,7,7,5,2,1,1,1,7,1,1,1,7,3,1,7,4,2,1,6,2,people with degrees
5pw5nb7tbdqf1q5b3i3pn1mo,WJ,2019-08-19 12:19:53,2019-08-19 12:25:39,0,100,346,1,2019-08-19 12:25:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,6,1,5,3,2,1,1,7,7,2,1,7,7,1,2,6,6,3,1,6,1,professional workers
kpoy91shmpp8o7ogdhvcv5wb,WJ,2019-08-19 12:14:57,2019-08-19 12:25:45,0,100,648,1,2019-08-19 12:25:46,NA,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,7,7,1,5,1,4,7,3,3,6,7,5,5,3,2,4,5,4,5,Unskilled manual workers
6qyu9bavh8l9rk0hv45w5i0w,WJ,2019-08-19 12:21:57,2019-08-19 12:27:10,0,100,313,1,2019-08-19 12:27:11,NA,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,1,4,4,5,7,4,4,5,7,4,4,4,4,4,4,4,4,Working class
y2oz1sgsgbd333nxv9s71kdk,WJ,2019-08-19 12:10:58,2019-08-19 12:27:23,0,100,985,1,2019-08-19 12:27:24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,6,2,2,4,2,7,1,7,7,1,1,6,7,7,6,1,7,6,6,2,6,Proffesional people or people who usually need a degree to work
yj4qxbxcpzr9ej4wb7g8lbkp,WJ,2019-08-19 12:20:51,2019-08-19 12:27:30,0,100,398,1,2019-08-19 12:27:30,NA,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,5,5,1,5,4,7,6,7,5,4,7,3,1,6,4,4,4,4,1,working class unskilled and semiskilled
8dgmwm5g5ha6pkz8r48smbfg,WJ,2019-08-19 12:21:24,2019-08-19 12:27:31,0,100,367,1,2019-08-19 12:27:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,7,5,5,6,2,2,1,5,7,4,3,5,5,1,1,7,3,1,1,7,2,workers
x16l4h49lu11frctxjp1cs4s,WJ,2019-08-19 12:23:56,2019-08-19 12:28:01,0,100,245,1,2019-08-19 12:28:01,NA,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,7,3,3,3,5,7,2,1,5,7,2,1,6,2,5,2,6,2,working class people
jpnutdkl1td8lu4lvlioc26c,WJ,2019-08-19 12:25:33,2019-08-19 12:28:13,0,100,159,1,2019-08-19 12:28:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,7,7,4,1,1,7,7,1,1,7,7,1,1,7,1,2,1,4,1,Professionals
0h5qu5s4hzmq5ss4m8e2zjc1,WJ,2019-08-19 12:23:24,2019-08-19 12:28:19,0,100,295,1,2019-08-19 12:28:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,6,4,6,6,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,Eu citizens
lqc9dibptrbxgi6w23wjwoyq,WJ,2019-08-19 12:25:05,2019-08-19 12:28:33,0,100,207,1,2019-08-19 12:28:33,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,3,4,4,7,7,7,6,7,7,2,1,7,5,2,2,7,5,Working class
